Company Name,Website,Location,City,State/Province,Country,Booth,Hall,Description
Alaska Defense,https://www.alaskadefense.com,"Scottsdale, AZ, United States",Scottsdale,AZ,United States,2839,Hall ABC,"Alaska Defense™ is the world's fastest-producer and largest provider of rapidly deployable shelters. Our commitment to enhancing the operational efficiency and mission readiness of military forces is unmatched, offering a comprehensive range of expeditionary shelter systems tailored to meet the dynamic demands of modern warfare."
Allient Defense,https://www.allient.com,"Amherst, NY, United States",Amherst,NY,United States,4243,Hall ABC,"Design, manufacture and supply motion control solutions including COTS and custom brushed & brushless DC motors, torque motors, gearing, electronics and light-weighting technologies found on aircraft actuation, high-speed surface control, weapons & munitions, environmental control systems, ground vehicles, mobile SATCOM, robotics, and more."
ALTA ARES,https://altaares.com/,"Stanislas Walch, CO, United States",Stanislas Walch,CO,United States,2641,Hall ABC,"Embedded AI for intelligence, surveillance and reconnaissance (ISR) to assist operators by reducing their cognitive load and minimizing the risk of error. Capable of analyzing data streams in real time without internet, it can accurately identify objects, people, vehicles, or potential threats."
AM General,https://www.amgeneral.com,"AM, USA",,AM,USA,6941,Hall DE,"AM General has a well-rounded product portfolio of specialized military vehicles that includes the next generation Joint Light Tactical Vehicle A2 (JLTV A2), the revolutionary 105mm mobile artillery truck with Soft Recoil Technology, and the iconic HUMVEE. We are mission ready and future driven to meet our customers’ evolving needs."
Amazon Business,https://business.amazon.com,"Seattle, WA, United States",Seattle,WA,United States,8213,Hall DE,"Amazon Business offers vast product selection and competitive pricing, while providing centralized oversight, cost savings, and compliance support for your purchasing needs."
Amazon Web Services,https://www.aws.com/defense,"Amazon Web Services, AW, USA",Amazon Web Services,AW,USA,8312,Hall DE,"Amazon Web Services (AWS) provides a global infrastructure and secure, scalable, and mission-focused solutions that helps the Department of Defense (DoD) meet mission, drive efficiencies, increase innovation, and secure critical workloads."
AMDA Foundation Limited,https://www.landforces.com.au,Australia,,,Australia,525,Hall ABC,"Land Forces 2026 is the platform for defence, industry & government, to network, & discuss opportunities & challenges facing the global land defence markets. Supported by the Australian Army, the exposition includes Australia’s largest defence exhibition, a comprehensive 3 day conference program & formal engagement opportunities."
Amentum,https://amentum.com,"Chantilly, VA, United States",Chantilly,VA,United States,1619,Hall ABC,"Amentum is a global leader in advanced engineering and innovative technology solutions, trusted by the United States and its allies to address their most significant and complex challenges in science, security and sustainability."
Amerex Defense,https://www.amerex-fire.com,"Amerex Defense, PO, USA",Amerex Defense,PO,USA,247,Hall ABC,"Amerex Defense, which was established in 2000, provides a wide range of life-saving AFES systems. Our engineers lead the way with product quality and design with one goal in mind: to protect those who protect us."
American Battle Monuments Foundation,https://abmf.org/,"Denver, CO, United States",Denver,CO,United States,460,Hall ABC,
American Red Cross - Washington DC,https://www.redcross.org,"Washington, DC, United States",Washington,DC,United States,429,Hall ABC,"Our emergency communication network connects military members and their families during times of crisis, connects them with community support and resources while also providing families with resiliency training and opportunities for growth while volunteering in military and VA treatment facilities."
American Rheinmetall Defense,https://www.rheinmetall-us.com,"Vienna, VA, United States",Vienna,VA,United States,1339,Hall ABC,"American Rheinmetall delivers next-generation solutions that enhance Soldier lethality, mobility, and situational awareness. From Advanced precision fires to innovative combat vehicles and mission systems, we support U.S. defense modernization priorities with forward-thinking capabilities - providing what modern battle requires, what Soldiers deserve, and what victory demands."
AMETEK,https://www.ametek.com,"AM, USA",,AM,USA,6517,Hall DE,AMETEK solves our customers’ most complex challenges by engineering and manufacturing reliable products and solutions for mission critical programs serving aerospace and military markets. Our tailored approach and product lifecycle support mitigates risk and ensures your programs success.
Amiga Engineering Pty Ltd,https://https//amigaeng.com.au/,United States,,,United States,525,Hall ABC,"Advanced Australian manufacturer delivering CNC machining, rare Tungsten Metal 3D printing, and in-house long-range target drones. Certified to AS9100D, with capabilities spanning Metal 3D Printed ballistic armour, aerospace components, and threat simulation systems. Proven partner for defence innovation, offering rapid, precise, and sovereign solutions to meet evolving global security challenges."
AML3D Limited,https://aml3d.com/,USA,,,USA,525,Hall ABC,"AML3D manufactures ARCEMY®, an industrial metal 3D printer utilizing Wire-arc Additive Manufacturing (WAM®) technology to produce large-scale and exotic material parts for Defense programs. ARCEMY® promotes supply chain resilience for metal parts, ensuring near-to-source manufacturing and on-demand printing capability, supporting sovereign manufacturing capability."
Amphenol Military and Aerospace Operations,https://www.amphenolamao.com,"Sidney, NY, United States",Sidney,NY,United States,3539,Hall ABC,"Amphenol Military & Aerospace Operations is perfectly aligned to provide the latest technologies, cost-effective manufacturing and supply chain management, and local support to solve any military and aerospace interconnect need."
Amprius Technologies,https://amprius.com,"Fremont, CA, United States",Fremont,CA,United States,546,Hall ABC,"Amprius Technologies provides high-performance silicon anode lithium-ion batteries, featuring the SiMaxx™ and SiCore™ product lines with industry-leading energy density and cycle life. Validated by top customers like Airbus and the U.S. Army, Amprius employs a capital-light manufacturing strategy through strategic partnerships and maintains headquarters in Fremont, CA."
AMS AERO,https://www.amsaero.eu,United States,,,United States,7219,Hall DE,"AMS AERO, based in Athens International Airport – Greece, executes Military and Civil contracts / projects for aircraft and helicopters (MRO / Training). EASA Part-145,-147, -21J, -CAMO | FAA Part 145 | UK CAA Part 145 | ISO 9110 / 9001, 14001,27001, NSPA/NATO"
Analysis SA,https://analysis-ltd.com.gr/,Greece,,,Greece,7219,Hall DE,"Analysis SA designs and manufactures certified temperature, pressure, level and switch sensors for defense, marine, and industrial use. Fully produced in-house, our sensors serve submarines, torpedoes, drones, and Ex environments. Current developments include an IMU and True North Sensing for GPS-denied navigation. Certified to ISO 9001, IECEx, and Lloyd’s standards."
Anduril,https://anduril.com,"Costa Mesa, CA, United States",Costa Mesa,CA,United States,3747,Hall ABC,"Anduril is a new kind of defense technology company. Our mission is to transform US and allied military and national security capabilities with advanced technology by partnering with customers and investing our own money to build innovative software defined, hardware enabled products that solve the toughest problems."
Ansys,https://www.ansys.com,"Canonsburg, PA, United States",Canonsburg,PA,United States,3455,Hall ABC,"For over 50 years, Ansys software has enabled innovators to push boundaries with the predictive power of simulation. From sustainable transportation to advanced semiconductors, from satellite systems to life-saving medical devices, our software will power the next great leaps in human advancement."
"Antenna Research Associates, Inc",https://ara-inc.com/,"8880 Gorman Rd, LA, United States",8880 Gorman Rd,LA,United States,2367,Hall ABC,"Antenna Research Associates (ARA) provides advanced antenna technologies and subsystems for C5ISR applications. With 60+ years of expertise in EW, military communications, radar, and satellite systems, ARA delivers unmatched intelligence, situational awareness, threat detection, and targeting capabilities—ensuring U.S. joint forces stay secure, superior, and mission-ready worldwide."
Anywise,https://www.anywise.com.au,Australia,,,Australia,525,Hall ABC,"A veteran-owned company that provides agile, tailored solutions to Government, Defence Industry and customers across multiple sectors. Anywise believes in establishing open dialogue with its customers and solving problems through true partnerships. The right people for the task to achieve the required outcome on time and within budget."
APEX Space & Defense Systems,https://www.apexsds.com,"Santa Ana, CA, United States",Santa Ana,CA,United States,3703,Hall ABC,"APEX delivers world-class, lightweight, durable solutions for the space, defense and communications industries. We advance complex, mission-critical operations that protect our nation, connect our world and explore our universe. Through design, development and delivery, we are focused on innovation and quality and driven by our commitment to integrity and partnership."
APPI-Technology,https://www.appi-technology.com,USA,,,USA,2641,Hall ABC,"APPI-Technology designs and manufactures wireless, hands-free communication solutions. Our Full-Duplex radios are long-range (up to 4Km), with powerful obstacle penetration, allowing teams to hold natural, clear conversations in critical environments. Our product range includes headset radios with built-in hearing protection (APPI-CovR) and radios compatible with any protection equipment (APPI-Com)."
Applied Companies,https://www.appliedcompanies.net,"Valencia, CA, United States",Valencia,CA,United States,4138,Hall ABC,
"Applied Research Associates, Inc.",https://www.ara.com,"Albuquerque, NM, United States",Albuquerque,NM,United States,407,Hall ABC,"Founded in 1979, Applied Research Associates, Inc. (ARA) offers innovative technologies and solutions to problems to improve our safety, security, and way of life. Our employee-owners, most of whom have advanced degrees in engineering and the physical sciences, have the expertise to tackle the most challenging technical problems."
ARESIA,https://aresia.com/,USA,,,USA,2641,Hall ABC,"Aresia is a key partner to major contractors and state agencies in the civil and defense aeronautical sectors. We are an innovative company with nearly 100 years of aeronautical experience. Our comprehensive range of services includes product design, development, and production, and maintenance in operational condition."
Arete,https://arete.com,"Northridge, CA, United States",Northridge,CA,United States,4119,Hall ABC,"Areté is an advanced science and engineering company that provides innovative solutions — from scientific discovery through production. Areté’s smart systems include active and passive sensors, real-time processing, software, and complex algorithms that operate from seafloor to space."
"Arion Communication Co., Ltd",https://www.arionit.com,USA,,,USA,7519,Hall DE,"Arion is a leading provider of satellite IoT solution development and satellite communication services. Backed by accumulated technology and extensive field experience, we provide seamless satellite connectivity across land/sea/air. As the world moves toward a new era of LEO-based communication, Arion stands ready to lead the transition with 6G generation"
"ARKA - Danbury Mission Technologies, LLC",https://arka.org,"Danbury, CT, United States",Danbury,CT,United States,7814,Hall DE,ARKA's threat detection systems provide unmatched performance in the detection of laser aided weapon systems providing critical seconds of warning to our ground and aircrews. The protection these systems provide allows our warfighters to focus on the mission at hand; knowing that they and their crewmates are safe.
Arkeus,https://arkeus.com/,USA,,,USA,525,Hall ABC,"Arkeus accelerates decision-making by merging optics and autonomy. Rapidly designing and fabricating autonomous optical systems for Search, Intelligence, Surveillance, and Reconnaissance (SISR). Optimized for aircraft and drones, their systems support ISR, border protection, city surveillance, force protection, counter-terrorism, illegal activity monitoring, and search and rescue across land, sea, and space."
Armor Australia,https://www.armoraustralia.com,USA,,,USA,525,Hall ABC,"Armor Australia designs, engineers and manufactures ballistic protection solutions with the operator in mind. Creating some of the lightest, thinnest and most body conforming and ergonomically superior products seen on the market today."
ArmorWorks Enterprises,https://www.armorworks.com,"Chandler, AZ, United States",Chandler,AZ,United States,1243,Hall ABC,"The ArmorWorks passion for protection is driven by an unwavering focus on research, development, and advanced engineering. Over the past three decades, this passion has resulted in some of the most unique and advanced survivability solutions available on the market today! Please visit us at Booth 1243!"
Army & Air Force Exchange Service,https://www.shopmyexchange.com/vets,"Dallas, TX, United States",Dallas,TX,United States,3325,Hall ABC,"The Army & Air Force Exchange Service is the Department of Defense’s largest retailer. 100% of Exchange earnings support military communities, including Quality-of-Life programs. In the last 10 years, the Exchange has contributed $15 billion to these programs. Visit ShopMyExchange.com/vets"
Arrow Electronics,https://arrow.com,"Centennial, CO, United States",Centennial,CO,United States,4254,Hall ABC,"Speed means nothing without precision—and precision demands trusted technology and a resilient supply chain. Arrow supports 180,000+ customers with decades of mil-spec expertise, top-tier supplier relationships, and global logistics strength—delivering verified components across your entire BoM."
ASDAM,https://www.asdam.com,USA,,,USA,525,Hall ABC,"ASDAM is a leading sovereign defence, advanced engineering, manufacturing and sustainment company. It provides end-to-end capability across design, engineering, manufacturing, assembly and sustainment. ASDAM includes Marand, TAE Aerospace, Rosebank Engineering, Levett Engineering and Quickstep. ASDAM is Australia's leading Defence exporter."
ASRC Federal,https://www.asrcfederal.com/,"AS, USA",,AS,USA,4046,Hall ABC,"ASRC Federal delivers successful mission outcomes for 30 U.S. government agencies while building an enduring enterprise focused on customers, employees, and shareholders. We offer broad technical expertise in digital operations and IT modernization, software, applications and analytics, engineering solutions, professional services, infrastructure operations and supply chain management and logistics. www.asrcfederal.com"
Astronautics Corporation of America,https://astronautics.com,"Oak Creek, WI, United States",Oak Creek,WI,United States,6313,Hall DE,
Astronics,https://www.astronics.com,"East Aurora, NY, United States",East Aurora,NY,United States,8401,Hall DE,"Astronics provides advanced aerospace and defense technologies, including military airframe power solutions, integrated lighting, and enhanced vision systems. Designed for reliability and mission effectiveness, our innovations enhance performance, safety, and situational awareness. Visit booth 8401 at AUSA to see how we empower military operations with cutting-edge solutions."
ATI,https://www.atimaterials.com,"AT, USA",,AT,USA,3149,Hall ABC,"ATI solves the world’s challenges through materials science, advanced integrated processing technologies, and relentlessly innovative people."
"Atlantic Signal, LLC",https://atlanticsignal.com/,"Topeka, KS, United States",Topeka,KS,United States,1467,Hall ABC,"THREE AND A HALF DECADES......... of designing, developing and manufacturing tactical communications proudly in the USA. Starting with our first client, the FBI, and initial products including the world’s first tactical bone conduction headset, Atlantic Signal has grown to become North America’s largest ancillary tactical communication manufacturer and supplier."
"Atrenne, A Celestica Company",https://www.atrenne.com/,"Brockton, MA, United States",Brockton,MA,United States,3943,Hall ABC,"Atrenne, a Celestica Company, is an advanced, vertically-integrated, custom systems provider serving defense, aerospace, computing, communications, and other technology-driven industries. With over 50 years of experience, Atrenne provides innovatively engineered products and services throughout the program lifecycle, from design and development through to field deployment. www.atrenne.com"
Aurizn,https://aurizn.co/,United States,,,United States,525,Hall ABC,"Aurizn advances Defence and National Security across AUKUS through Synthetic Test and Evaluation, Critical Technologies, Data Driven Artificial Intelligence, Cyber Operations, and Mission Enablement. With over 200 professionals, we deliver innovative, high-impact solutions across all domains, accelerating asymmetric capabilities and providing deep insights to support strategic and secure outcomes."
Ausco Group,https://www.auscogroup.com,USA,,,USA,525,Hall ABC,"Ausco Group is an Australian engineering, manufacturing, and marine technology company delivering precision components, rugged systems, and autonomous solutions for defence, maritime, and subsea operations. From launch and recovery to advanced prototyping, we support sovereign capability through integration expertise and mission-ready technologies for remote, austere, and contested environments."
Australian Department of Defence,https://www.defence.gov.au/business-industry/Export/team-defence-australia,Dr,,,Dr,525,Hall ABC,"The national stand for Australian defence industry, supported by the Australian Department of Defence. Australia's defence industry is thriving off the back of a $330bn defence capability commitment from the Australian government. Exhibiting this year will be a number of world-class Australian companies with a wide range of impressive capabilities."
AV,https://www.avinc.com,"AV, USA",,AV,USA,3105,Hall ABC,"AV (NASDAQ: AVAV) is a defense technology leader delivering integrated capabilities across air, land, sea, space, and cyber. The company develops and deploys autonomous systems, precision strike systems, counter-UAS technologies, space-based platforms, directed energy systems, and cyber and electronic warfare capabilities."
Avalon Action Alliance,https://www.avalonactionalliance.org/,"Atlanta, GA, United States",Atlanta,GA,United States,363,Hall ABC,"Avalon Action Alliance provides life-changing programs to our nation’s veterans and first responders who suffer from co-occurring symptoms related to traumatic brain injury (TBI), post-traumatic stress (PTS), and substance abuse (SA). We remove financial and geographical barriers to ensure no warrior walks the healing path alone."
Avalon Holographic Inc.,https://www.avalonholographics.com,USA,,,USA,4209,Hall ABC,"Avalon Holographics is leading the next wave of display technology with professional holographic displays that revolutionize the way people produce, view and understand visual content. By replicating the experience of looking at real objects, Avalon’s holographic displays produce realistic, comfortable, headgear-free immersive experiences that facilitate collaboration while reducing cognitive load."
Avon Protection | Team Wendy Ceradyne | Team Wendy,https://www.avon-protection.com,"Cadillac, MI, United States",Cadillac,MI,United States,953,Hall ABC,"Team Wendy is dedicated to providing exceptional head protection systems designed from the inside out for those who risk their lives every day. Avon Protection is an innovative capability provider specializing in the design, development, testing and manufacture of integrated protective systems."
Axnes,https://www.axnes.com/,"Arlington, VA, United States",Arlington,VA,United States,7141,Hall DE,"Axnes develops and supplies advanced and highly durable wireless intercom solutions for aircraft, ground vehicles or maritime platforms. Axnes is an approved supplier to the US military, and today more than 2,000 aircraft globally use and benefit from Axnes wireless technology."
Axon,https://www.tiktok.com/@tiktok.com/https://www.tiktok.com/@axon.enterprise?lang=en,"Scottsdale, AZ, United States",Scottsdale,AZ,United States,1961,Hall ABC,"Axon is the global leader in connected public safety technologies, advancing solutions that protect life in both civilian and defense environments. The Axon ecosystem, including energy weapons, body-worn cameras, software, and real-time operations platforms, empowers defense and security forces to better detect, respond, and adapt to emerging threats."
"B.E. Meyers & Co., Inc.",https://www.bemeyers.com,"Redmond, WA, United States",Redmond,WA,United States,3439,Hall ABC,"B.E. Meyers & Co., Inc. is a US Defense Technology Manufacturer specializing in advanced photonics solutions for military, law enforcement, consumer, and aerospace applications."
Babel Street,https://www.babelstreet.com/,"Reston, VA, United States",Reston,VA,United States,1767,Hall ABC,Babel Street is the trusted technology partner for the world’s most advanced identity intelligence and risk operations. The Babel Street Insights platform delivers advanced AI and data analytics solutions to close the Risk-Confidence Gap.
Bale Defence,https://www.baledefence.com,USA,,,USA,525,Hall ABC,Bale Defence Engineering Systems is an Australian veteran founded business that designs and manufactures high quality proprietary products including our LTATV 2 & 4 Seat Rough Terrain Vehicles (RTV) and High Security Armoured Shipping Containers for AA&E and T-SCIFs.
"Barrett Firearms Manufacturing, Inc.",https://barrett.net,"Murfreesboro, TN, United States",Murfreesboro,TN,United States,2239,Hall ABC,"Barrett is a family-owned and operated company and the world leader in large-caliber, long-distance, precision rifle design and manufacturing. Barrett products are used by civilians, sport shooters, law enforcement agencies, the United States military and more than 70 State Department approved countries around the world."
"Bascom Hunter Technologies, Inc.",https://bascomhunter.com,"Baton Rouge, LA, United States",Baton Rouge,LA,United States,7806,Hall DE,"Bascom Hunter serves the aerospace and defense markets specializing in Environmental Control Systems (ECS) and Components and Defense Electronics Systems and Components. The company maintains a corporate commitment to quality, with our design and manufacturing operations certified to AS9100D and ISO 9001:2015."
BDSV Exhibitions e.V.,https://www.bdsv.eu,United States,,,United States,2704,Hall ABC,The BDSV represents the interests of the entire German Security and Defence Industry at both the national and international level. Its work aims to preserve the competitiveness and viability of the German Security and Defence Industry.
Bell,https://www.bellflight.com/,"Fort Worth, TX, United States",Fort Worth,TX,United States,7527,Hall DE,"We’re an aerospace and defense company that engineers and manufactures aircraft for critical solutions in extreme scenarios. We’re breaking barriers in lifting people to safety across transportation, medical, rescue and military services, and leading the industry in future solutions that are fast, reliable and efficient."
Beretta Defense Technologies,https://www.berettadefensetechnologies.com,"Accokeek, MD, United States",Accokeek,MD,United States,507,Hall ABC,"Beretta Defense Technologies (BDT), our military group alliance, provides products and services to respond to the ever-changing needs of our Warfighters. The Group’s Total Solution approach combines the innovation and core competencies of all its companies – Beretta, Benelli, Sako, Steiner, Norma, RWS, Swiss P, MFS and Centanex."
BERNIER Connect S.A.S,https://www.bernier.tm.fr,France,,,France,2539,Hall ABC,"BERNIER designs and manufactures innovative, rugged connectors for harsh environments. Connect with Confidence !"
Bigbear.ai,https://bigbear.ai/,"McLean, VA, United States",McLean,VA,United States,1613,Hall ABC,"Edge First, Mission Always: BigBear.ai provides decision intelligence solutions for supply chains and logistics, enterprise operations, manned-unmanned teaming in autonomous systems, and cybersecurity. Our experts bring experience from some of the most complex operating environments, and we partner with our customers to design and implement solutions tailored to their needs."
Bisalloy Steels,https://www.bisalloy.com.au,Australia,,,Australia,525,Hall ABC,100% Australian made BISALLOY® Armour Steel is internationally recognised and certified by major defence departments and used by prime contractors of land and sea projects. Our Armour steel grades are specified by military standards (such as MIL-DTL-46100 and MIL-DTL-32332) along with various international ballistic testing standards
Black Sky Aerospace,https://bsaero.space/,United States,,,United States,525,Hall ABC,"Black Sky manufactures solid rocket propellant with the only licensed explosives manufacturing facility of its kind in the Southern Hemisphere. BSA is ISO9001 and AS9100D certified. BSA provides sovereign capability and product to the defence industry with guided weapons and explosive ordnance energetics, precursor chemicals, hypersonic boosters, rocket sub systems."
Black6,https://www.black6.com,"6, 51 Waterway Drive",6,,51 Waterway Drive,525,Hall ABC,"Black6 Redefines Learning. Our Artificial Virtual Instructors (AVIs) operate at the merge point between real and virtual environments to deliver measurable training faster, and smarter. Every interaction generates data – tracking performance, continuously innovating, delivering critical feedback, and improving the individual learning pathway."
Blue Summit,https://www.bluesummitcg.com,"Denise Benson, CM, USA",Denise Benson,CM,USA,439,Hall ABC,"Blue Summit (SDVOSB) delivers transformative training and instructional design for defense, military, and mission-driven organizations. We create tailored learning experiences that build readiness, inspire confidence, and drive mission success—equipping teams to lead with clarity in complex environments. Prepare for the future of work with solutions built for real-world impact."
BlueRoom Simulations,https://blueroomxr.com,USA,,,USA,525,Hall ABC,BlueRoom Simulations is an Australian company that solves the problem of access to aircraft and other high-value assets/locations for training when fine/gross motor skills are required using real-world physical objects. Their Mixed Reality simulator has been fielded by the Royal Australian Air Force and is in use globally.
Bluesky Innovations,https://www.blueskyinnovations.com,"Charles Larson, VP, USA",Charles Larson,VP,USA,1939,Hall ABC,BlueSky Innovations is a technology company dedicated to delivering products and solutions that close mission-critical capability gaps for the warfighter in support of C5ISR programs worldwide.
"BlueWaveTel Co., Ltd.",https://www.bluewavetel.com,USA,,,USA,7519,Hall DE,"BlueWaveTel Co., Ltd. is good at wave & propagation in the blue sky and blue ocean. We provide competitiveness in industry-leading wireless system and services through cutting edge RF module and antenna. We have provided over 2.5 million RF modules and antennas for telecommunications and wireless applications."
Bodd,https://www.bodd.io/,United States,,,United States,525,Hall ABC,"Bodd is a pioneering technology company delivering advanced 3D body scanning and data analytics solutions for Defence, Aviation, Emergency Services & Wellness sectors. Headquartered in Australia, Bodd's proprietary platform captures precise body measurements and wellness data in seconds, enabling smarter uniform fittings and improved healthcare and performance outcomes."
Boeing,https://www.boeing.com/defense,"Arlington, VA, United States",Arlington,VA,United States,725,Hall ABC,"Boeing is the world's largest aerospace company and an innovative manufacturer of commercial, defense and space systems. Boeing products and services include commercial and military aircraft, satellites, weapons, C4ISR systems, launch systems, and support services."
BOH Solutions,https://www.bohsolutions.com,"BO, USA",,BO,USA,3343,Hall ABC,"BOH Solutions (BOH) is a privately held ISO Certified Business. We own, design, build & distribute the commercially available FPU® Mobility System. Since 1999, BOH has answered the call for a more durable, deployable, and flexible containerized logistics support package – the FPU Mobility System"
Bombardier Defense,https://defense.bombardier.com/en,"Wichita, KS, United States",Wichita,KS,United States,7801,Hall DE,"Bombardier Defense is a division of Bombardier Group that designs, develops and delivers a range of capabilities to operators worldwide with hundreds of specialized aircraft in service, over 3M fleet hours and more than 170 operators in 50 countries."
