id,source,institution_name,phone,contact_name,contact_position,contact_email,contact_phone,address,website,programs,location_parsed.city,location_parsed.state,location_parsed.country,processed_at,program_categories.welding,program_categories.hvac,program_categories.automotive,program_categories.construction,program_categories.electronics,program_categories.machining,program_categories.cad_cam,program_categories.plumbing,program_categories.woodworking
ts_0043,TRADE_SCHOOLS,University of Alaska Southeast,8774654827,Aparna Palmer,Chancellor,adpalmer@alaska.edu,9077966272,"11066 Auke Lake Way, Juneau, AK 99801-8697",www.uas.alaska.edu/,Construction|Welding|CAD/CAM Drafting,11066 Auke Lake Way,Juneau,AK 99801-8697,2025-09-22T09:01:54.560220,True,False,False,True,False,False,True,False,False
ts_0045,TRADE_SCHOOLS,Alaska Vocational Technical Center,9072243322,Cory Ortiz,Division Director,cory.ortiz@avtec.edu,9072243322,"PO Box 889, Seward, AK 99664-0889",www.avtec.edu/,Construction|Diesel & Automotive Tech|Electronics|Welding|Machine & Mechanical Systems|HVAC|Plumbing & Pipefitting,PO Box 889,Seward,AK 99664-0889,2025-09-22T09:01:54.560250,True,True,True,True,True,True,False,True,False
ts_0047,TRADE_SCHOOLS,Charter College,8882009942,Career Services Team,Career Services Team,readytowork@chartercollege.edu,,"2221 East Norhtern Lights Boulevard, Suite 120, Anchorage, AK 99508-4103",https://chartercollege.edu/,Welding|HVAC|CAD/CAM Drafting,2221 East Norhtern Lights Boulevard,Suite 120,Anchorage,2025-09-22T09:01:54.560280,True,True,False,False,False,False,True,False,False
ts_0048,TRADE_SCHOOLS,Eastern Arizona College,9284288272,Alison Villalobos​,Career Service Center Director​,alison.villalobos@eac.edu,9284288609,"615 N. Stadium Ave., Thatcher, AZ 85552-0769",www.eac.edu/,CAD/CAM Drafting |Diesel & Automotive Tech|Electronics|Welding,615 N. Stadium Ave.,Thatcher,AZ 85552-0769,2025-09-22T09:01:54.560301,True,False,True,False,True,False,True,False,False
ts_0050,TRADE_SCHOOLS,GateWay Community College,6022868458,General Contact,General Contact,library@gatewaycc.edu,6022868458,"108 N. 40th Street, Phoenix, AZ 85034",www.gatewaycc.edu/,Electronics|Diesel & Automotive Tech|HVAC,108 N. 40th Street,Phoenix,AZ 85034,2025-09-22T09:01:54.560333,False,True,True,False,True,False,False,False,False
ts_0051,TRADE_SCHOOLS,Mesa Community College,4804617000,Workforce & Economic Development (WED),Workforce & Economic Development (WED),get.ahead@mcckc.edu,8166041000,"1833 W Southern Ave, Mesa, AZ 85202",www.mesacc.edu/,Welding|Construction|Machine & Mechanical Systems|HVAC|Electronics|Plumbing & Pipefitting,1833 W Southern Ave,Mesa,AZ 85202,2025-09-22T09:01:54.560354,True,True,False,True,True,True,False,True,False
ts_0052,TRADE_SCHOOLS,Northland Pioneer College,8002667845,Chato Hazelbaker,College President,chato.hazelbaker@npc.edu,,"2251 E. Navajo Blvd., Holbrook, AZ 86025-0610",www.npc.edu/,Welding|Construction|Diesel & Automotive Tech|Electronics,2251 E. Navajo Blvd.,Holbrook,AZ 86025-0610,2025-09-22T09:01:54.560374,True,False,True,True,True,False,False,False,False
ts_0054,TRADE_SCHOOLS,Universal Technical Institute of Arizona Inc,8008591202,Student Services,Student Services,StudentServices-7@uti.edu,8008591202,"10695 West Pierce Street, Avondale, AZ 85323",www.uti.edu/,Diesel & Automotive Tech|Electronics|Welding|HVAC,10695 West Pierce Street,Avondale,AZ 85323,2025-09-22T09:01:54.560403,True,True,True,False,True,False,False,False,False
ts_0055,TRADE_SCHOOLS,Yavapai College,9284457300,Dr. Lisa Rhine,President,—,9287762122,"1100 E Sheldon St, Prescott, AZ 86301",https://www.yc.edu/,Woodworking & Carpentry|Diesel & Automotive Tech,1100 E Sheldon St,Prescott,AZ 86301,2025-09-22T09:01:54.560424,False,False,True,False,False,False,False,False,True
ts_0057,TRADE_SCHOOLS,Black River Technical College,8702484000,Martin Eggensperger,President,—,8702484071,"1410 Hwy 304 East, Pocahontas, AR 72455",www.blackrivertech.edu/,Plumbing & Pipefitting|Electronics|Welding,1410 Hwy 304 East,Pocahontas,AR 72455,2025-09-22T09:01:54.560453,True,False,False,False,True,False,False,True,False
ts_0059,TRADE_SCHOOLS,National Park College,5017604222,Sarah Day,Assistant to the President,Sarah.Day@np.edu,5017604206,"101 College Dr, Hot Springs, AR 71913",www.np.edu/,Welding|Diesel & Automotive Tech|Machine & Mechanical Systems,101 College Dr,Hot Springs,AR 71913,2025-09-22T09:01:54.560481,True,False,True,False,False,True,False,False,False
ts_0061,TRADE_SCHOOLS,Arkansas State University Mid-South,8707336722,Dr. Debra West,Chancellor,dwest@asumidsouth.edu,8707336770,"2000 W. Broadway, West Memphis, AR 72301-3829",www.asumidsouth.edu/,Welding|Machine & Mechanical Systems,2000 W. Broadway,West Memphis,AR 72301-3829,2025-09-22T09:01:54.560510,True,False,False,False,False,True,False,False,False
ts_0064,TRADE_SCHOOLS,Northwest Technical Institute,4797518824,General Contact,General Contact,info@nwti.edu,4797518824,"709 S Old Missouri Rd, Springdale, AR 72764",www.nwti.edu/,Diesel & Automotive Tech|Welding|HVAC,709 S Old Missouri Rd,Springdale,AR 72764,2025-09-22T09:01:54.560548,True,True,True,False,False,False,False,False,False
ts_0065,TRADE_SCHOOLS,Arkansas State University Three Rivers,5013375000,Dr. Steve Rook,Chancellor,—,5013320230,"One College Circle, Malvern, AR 72104-0816",www.asutr.edu/,Welding,One College Circle,Malvern,AR 72104-0816,2025-09-22T09:01:54.560697,True,False,False,False,False,False,False,False,False
ts_0067,TRADE_SCHOOLS,Ozarka College,8703687371,Joshua Wilson,President,jwilson@ozarka.edu,8703682060,"218 College Dr, Melbourne, AR 72556-0010",https://www.ozarka.edu/,Construction|Plumbing & Pipefitting|Machine & Mechanical Systems|Diesel & Automotive Tech,218 College Dr,Melbourne,AR 72556-0010,2025-09-22T09:01:54.560733,False,False,True,True,False,True,False,True,False
ts_0068,TRADE_SCHOOLS,University of Arkansas Community College-Morrilton,5019772053,Admissions Office,Admissions Office,adm@uaccm.edu,5019772053,"1537 University Blvd., Morrilton, AR 72110",www.uaccm.edu/,Welding|Diesel & Automotive Tech|HVAC|CAD/CAM Drafting |Construction|Machine & Mechanical Systems,1537 University Blvd.,Morrilton,AR 72110,2025-09-22T09:01:54.560755,True,True,True,True,False,True,True,False,False
ts_0069,TRADE_SCHOOLS,Phillips Community College of the University of Arkansas,8703386474,Dr. Keith Pinchback,Chancellor,pinchback@pccua.edu,87033864741233,"1000 Campus Drive, Helena, AR 72342-0785",www.uaccm.edu/,Machine & Mechanical Systems|Construction|Welding|HVAC,1000 Campus Drive,Helena,AR 72342-0785,2025-09-22T09:01:54.560776,True,True,False,True,False,True,False,False,False
ts_0071,TRADE_SCHOOLS,South Arkansas College,8708628131,Dr. Stephanie Tully-Dartez,Interim President,—,8708647152,"300 S West Ave, El Dorado, AR 71731-7010",www.southark.edu/,Machine & Mechanical Systems|Welding|Diesel & Automotive Tech,300 S West Ave,El Dorado,AR 71731-7010,2025-09-22T09:01:54.560805,True,False,True,False,False,True,False,False,False
ts_0073,TRADE_SCHOOLS,Southern Arkansas University Tech,8705744500,Admissions Office,Admissions Office,admissions@sautech.edu,8705744471,"6415 Spellman Road, Camden, AR 71701-1906",www.sautech.edu/,Welding|HVAC|Machine & Mechanical Systems,6415 Spellman Road,Camden,AR 71701-1906,2025-09-22T09:01:54.560834,True,True,False,False,False,True,False,False,False
ts_0074,TRADE_SCHOOLS,University of Arkansas-Fort Smith,4797887000,Terisa Riley,Chancellor,Terisa.Riley@uafs.edu,4797887005,"5210 Grand Ave, Fort Smith, AR 72913-3649",https://uafs.edu/,Welding|Electronics,5210 Grand Ave,Fort Smith,AR 72913-3649,2025-09-22T09:01:54.560854,True,False,False,False,True,False,False,False,False
ts_0077,TRADE_SCHOOLS,American River College,9164848011,Adam Windham,Associate Vice President,WindhaA@arc.losrios.edu,9164848408,"4700 College Oak Dr, Sacramento, CA 95841-4286",https://www.arc.losrios.edu/,Electronics|HVAC,4700 College Oak Dr,Sacramento,CA 95841-4286,2025-09-22T09:01:54.560892,False,True,False,False,True,False,False,False,False
ts_0079,TRADE_SCHOOLS,Bakersfield College,6613954011,Karyna Bandy,Executive Secretary of the President,karyna.bandy@bakersfieldcollege.edu,6613954012,"1801 Panorama Dr, Bakersfield, CA 93305-1299",https://www.bakersfieldcollege.edu/,Electronics|HVAC|Construction|Welding|Woodworking & Carpentry|Machine & Mechanical Systems|Diesel & Automotive Tech,1801 Panorama Dr,Bakersfield,CA 93305-1299,2025-09-22T09:01:54.560921,True,True,True,True,True,True,False,False,True
ts_0082,TRADE_SCHOOLS,Barstow Community College,7602522411,Eva Bagg,Superintendent-President,ebagg@barstow.edu,76025224117214,"2700 Barstow Road, Barstow, CA 92311",www.barstow.edu/,Diesel & Automotive Tech|Welding|Machine & Mechanical Systems,2700 Barstow Road,Barstow,CA 92311,2025-09-22T09:01:54.560960,True,False,True,False,False,True,False,False,False
ts_0085,TRADE_SCHOOLS,Brownson Technical School,7147749443,General Info,General Info,info@brownson.edu,7142032698,"1110 Technology Cir Ste D, Anaheim, CA 92805",https://brownson.edu/,HVAC,1110 Technology Cir Ste D,Anaheim,CA 92805,2025-09-22T09:01:54.560997,False,True,False,False,False,False,False,False,False
ts_0086,TRADE_SCHOOLS,Butte College,5308952511,Melissa Cafferata-Ainsworth,"Executive Assistant to the President and Board of Trustees",cafferataainsworthme@butte.edu,5308952484,"3536 Butte Campus Drive, Oroville, CA 95965-8399",www.butte.edu/,Construction|HVAC|Welding,3536 Butte Campus Drive,Oroville,CA 95965-8399,2025-09-22T09:01:54.561017,True,True,False,True,False,False,False,False,False
ts_0089,TRADE_SCHOOLS,College of the Canyons,6612597800,Kathy Benz,"Director, Student Business Office",kathy.benz@canyons.edu,6613623032,"26455 Rockwell Canyon Rd, Santa Clarita, CA 91355-1899",www.canyons.edu/,Diesel & Automotive Tech|Welding,26455 Rockwell Canyon Rd,Santa Clarita,CA 91355-1899,2025-09-22T09:01:54.561054,True,False,True,False,False,False,False,False,False
ts_0091,TRADE_SCHOOLS,CET-San Diego,6195274895,General Phone,General Phone,—,6195274895,"4153 Market Street, San Diego, CA 92102",https://www.cetweb.edu/,Construction|Electronics|Welding,4153 Market Street,San Diego,CA 92102,2025-09-22T09:01:54.561083,True,False,False,True,True,False,False,False,False
ts_0092,TRADE_SCHOOLS,CET-San Jose,4085345360,General Phone,General Phone,—,4085345360,"701 Vine St, San Jose, CA 95110",https://cetweb.edu/,Electronics|HVAC|Diesel & Automotive Tech,701 Vine St,San Jose,CA 95110,2025-09-22T09:01:54.561103,False,True,True,False,True,False,False,False,False
ts_0093,TRADE_SCHOOLS,CET-El Centro,7603376565,General Phone,General Phone,—,7603376565,"294 S 3rd St, El Centro, CA 92243",https://cetweb.edu/,Construction|Welding,294 S 3rd St,El Centro,CA 92243,2025-09-22T09:01:54.561123,True,False,False,True,False,False,False,False,False
ts_0094,TRADE_SCHOOLS,CET-Colton,9094783818,General Phone,General Phone,—,9094783818,"1099 N. Pepper Ave, Colton, CA 92324",https://cetweb.edu/,Welding|Construction|Electronics|Diesel & Automotive Tech|HVAC,1099 N. Pepper Ave,Colton,CA 92324,2025-09-22T09:01:54.561142,True,True,True,True,True,False,False,False,False
ts_0095,TRADE_SCHOOLS,CET-Watsonville,8317284551,General Phone,General Phone,—,8317284551,"10 Blanca Lane, Watsonville, CA 95076",https://cetweb.edu/,Construction|Welding,10 Blanca Lane,Watsonville,CA 95076,2025-09-22T09:01:54.561162,True,False,False,True,False,False,False,False,False
ts_0096,TRADE_SCHOOLS,Cerritos College,5628602451,Dr. Nick Real,"Instructional Dean, Technology Division",—,56286024512900,"11110 Alondra Blvd, Norwalk, CA 90650-6298",www.cerritos.edu/,Diesel & Automotive Tech|Woodworking & Carpentry|Welding,11110 Alondra Blvd,Norwalk,CA 90650-6298,2025-09-22T09:01:54.561182,True,False,True,False,False,False,False,False,True
ts_0098,TRADE_SCHOOLS,Cerro Coso Community College,7603846100,Sean Hancock,President,sean.hancock@cerrocoso.edu,7603846212,"3000 College Heights Blvd, Ridgecrest, CA 93555-9571",https://cerrocoso.edu/,Welding,3000 College Heights Blvd,Ridgecrest,CA 93555-9571,2025-09-22T09:01:54.561211,True,False,False,False,False,False,False,False,False
ts_0100,TRADE_SCHOOLS,Chabot College,5107236600,Dr. Tracey Coleman,Dean of Applied Technology and Business,tcoleman@chabotcollege.edu,5107236652,"25555 Hesperian Blvd, Hayward, CA 94545",www.chabotcollege.edu/,Diesel & Automotive Tech|Construction|Welding|Electronics|Machine & Mechanical Systems,25555 Hesperian Blvd,Hayward,CA 94545,2025-09-22T09:01:54.561239,True,False,True,True,True,True,False,False,False
ts_0102,TRADE_SCHOOLS,Chaffey College,9096526000,InTech Training Center,InTech Training Center,intechcenter@chaffey.edu,9096528488,"5885 Haven Ave, Rancho Cucamonga, CA 91737-3002",https://www.chaffey.edu/,Welding,5885 Haven Ave,Rancho Cucamonga,CA 91737-3002,2025-09-22T09:01:54.561268,True,False,False,False,False,False,False,False,False
ts_0105,TRADE_SCHOOLS,Citrus College,6269630323,Kimberly Mathews,Dean of Career and Technical Education,kmathews@citruscollege.edu,6268526402,"1000 W Foothill Blvd, Glendora, CA 91741-1899",https://www.citruscollege.edu/,Diesel & Automotive Tech|Construction,1000 W Foothill Blvd,Glendora,CA 91741-1899,2025-09-22T09:01:54.561306,False,False,True,True,False,False,False,False,False
ts_0107,TRADE_SCHOOLS,City College of San Francisco,4152393000,Janel Hadden,Career Education,jhadden@ccsf.edu,4154527045,"50 Frida Kahlo Drive, San Francisco, CA 94112-1898",www.ccsf.edu/,Diesel & Automotive Tech|Construction|Plumbing & Pipefitting|HVAC,50 Frida Kahlo Drive,San Francisco,CA 94112-1898,2025-09-22T09:01:54.561334,False,True,True,True,False,False,False,True,False
ts_0109,TRADE_SCHOOLS,Milan Institute-Visalia,5596843900,Milan Institute HVAC,Milan Institute HVAC,—,8882079460,"6500 S. Mooney Blvd., Visalia, CA 93277",www.milaninstitute.edu/,HVAC,6500 S. Mooney Blvd.,Visalia,CA 93277,2025-09-22T09:01:54.561363,False,True,False,False,False,False,False,False,False
ts_0110,TRADE_SCHOOLS,Columbia College,2095885100,Kasey Fulkerson,Executive Assistant — Office of the President,fulkersonk@yosemite.edu,2095885115,"11600 Columbia College Dr, Sonora, CA 95370",https://www.gocolumbia.edu/,Welding|Diesel & Automotive Tech,11600 Columbia College Dr,Sonora,CA 95370,2025-09-22T09:01:54.561383,True,False,True,False,False,False,False,False,False
ts_0112,TRADE_SCHOOLS,Compton College,3109001600,Dr. Paul Flor,Dean of Student Learning,pflor@compton.edu,31090016002273,"1111 East Artesia Blvd., Compton, CA 90221-5393",www.compton.edu/,HVAC|Diesel & Automotive Tech|Welding|Machining,1111 East Artesia Blvd.,Compton,CA 90221-5393,2025-09-22T09:01:54.561511,True,True,True,False,False,False,False,False,False
ts_0114,TRADE_SCHOOLS,Cosumnes River College,9166887344,Ms. Dana Wassmer,Associate Vice President — CRC Main Campus,WassmeD@CRC.losrios.edu,9166917117,"8401 Center Parkway, Sacramento, CA 95823-5799",https://www.crc.losrios.edu/,Diesel & Automotive Tech|Welding|Construction,8401 Center Parkway,Sacramento,CA 95823-5799,2025-09-22T09:01:54.561608,True,False,True,True,False,False,False,False,False
ts_0116,TRADE_SCHOOLS,Cypress College,7144847000,Rick Hodge,Dean of Career Technical Education,—,7144847231,"9200 Valley View, Cypress, CA 90630-5897",www.cypresscollege.edu/,HVAC|Diesel & Automotive Tech,9200 Valley View,Cypress,CA 90630-5897,2025-09-22T09:01:54.561650,False,True,True,False,False,False,False,False,False
ts_0117,TRADE_SCHOOLS,De Anza College,4088645678,Omar Torres,President,torresomar@deanza.edu,4088645678,"21250 Stevens Creek Blvd., Cupertino, CA 95014",https://www.deanza.edu/,Diesel & Automotive Tech|CAD/CAM Drafting |Machine & Mechanical Systems,21250 Stevens Creek Blvd.,Cupertino,CA 95014,2025-09-22T09:01:54.561673,False,False,True,False,False,True,True,False,False
ts_0120,TRADE_SCHOOLS,College of the Desert,7603468041,Neil Lingle,Interim Dean — School of Applied Sciences & Business,nlingle@collegeofthedesert.edu,7607732571,"43-500 Monterey Ave, Palm Desert, CA 92260",www.collegeofthedesert.edu/,HVAC|Diesel & Automotive Tech,43-500 Monterey Ave,Palm Desert,CA 92260,2025-09-22T09:01:54.561718,False,True,True,False,False,False,False,False,False
ts_0123,TRADE_SCHOOLS,Diablo Valley College,9256851230,Dr. Monica Chahal,President,mchahal@dvc.edu,9259692001,"321 Golf Club Rd, Pleasant Hill, CA 94523",https://www.dvc.edu/,Construction|Electronics|HVAC|Plumbing & Pipefitting,321 Golf Club Rd,Pleasant Hill,CA 94523,2025-09-22T09:01:54.561759,False,True,False,True,True,False,False,True,False
ts_0125,TRADE_SCHOOLS,El Camino Community College District,3105323670,David Gonzales,Dean of Industry & Technology,dgonzales@elcamino.edu,3106603600,"16007 Crenshaw Blvd, Torrance, CA 90506",www.elcamino.edu/,HVAC|Diesel & Automotive Tech|Construction|Electrical|Machining|Welding,16007 Crenshaw Blvd,Torrance,CA 90506,2025-09-22T09:01:54.561789,True,True,True,True,False,False,False,False,False
ts_0127,TRADE_SCHOOLS,Evergreen Valley College,4082747900,Penny L. Garibay,Executive Administrative Assistant — President's Office,Penny.Garibay@evc.edu,4082706471,"3096 Yerba Buena Rd, San Jose, CA 95135-1598",https://www.evc.edu/,Diesel & Automotive Tech,3096 Yerba Buena Rd,San Jose,CA 95135-1598,2025-09-22T09:01:54.561819,False,False,True,False,False,False,False,False,False
ts_0129,TRADE_SCHOOLS,Foothill College,6509497777,Kristina Whalen,President,whalenkristina@fhda.edu,6509497200,"12345 El Monte Rd, Los Altos Hills, CA 94022",https://foothill.edu/,Plumbing & Pipefitting|HVAC,12345 El Monte Rd,Los Altos Hills,CA 94022,2025-09-22T09:01:54.561848,False,True,False,False,False,False,False,True,False
ts_0130,TRADE_SCHOOLS,Fresno City College,5594428200,Kim Armstrong,Office of the President,kim.armstrong@fresnocitycollege.edu,5594892211,"1101 E. University Ave, Fresno, CA 93741",www.fresnocitycollege.edu/,CAD/CAM Drafting |Electronics|Construction|Diesel & Automotive Tech|Welding,1101 E. University Ave,Fresno,CA 93741,2025-09-22T09:01:54.561868,True,False,True,True,True,False,True,False,False
