name,booth,hall,profile_url,website,domain,all_urls,social_links,description,categories,email,phone,scraped_at,data_quality_score,location_raw_address,location_street,location_city,location_state,location_postal,location_country,location_country_code,location_lat,location_lng,location_accuracy
"Advanced Cooling Technologies, Inc.",3746,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/1BDE3517-1C8B-EF11-8109-89D6F48D9B9D,https://www.1-act.com/,www.1-act.com,"['https://www.facebook.com/https://www.youtube.com/AdvancedCoolingTech', 'https://twitter.com/https://twitter.com/ACTHeatPipes', 'https://www.linkedin.com/company/https://www.linkedin.com/company/advanced-cooling-technologies/', 'https://www.1-act.com/']","{'facebook': 'https://www.facebook.com/https://www.youtube.com/AdvancedCoolingTech', 'twitter': 'https://twitter.com/https://twitter.com/ACTHeatPipes', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/advanced-cooling-technologies/'}","Advanced Cooling Technologies, Inc. is a premier thermal management solutions company specializing in designing to mil-spec qualifications for a diverse set of markets, including Defense, Aerospace, Spacecraft, Electronics, Energy Recovery, Medical, Enclosure Cooling, and Calibration Equipment. ISO 9001: 2015 and AS9100 certified and ITAR registered.",[],,,2025-08-25 15:23:58,0.8,"
1046 New Holland Avenue
Lancaster, PA 17601",1046 New Holland Avenue,Lancaster,PA,17601,United States,US,40.0551387,-76.2848172,geocoded
Advanced Navigation,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/67823FD4-313C-F011-8109-89D6F48D9B9D,https://www.advancednavigation.com,www.advancednavigation.com,"['https://www.linkedin.com/company/https://www.linkedin.com/company/advanced-navigation', 'https://www.advancednavigation.com']",{'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/advanced-navigation'},"Advanced Navigation is a global leader in APNT and autonomous system technologies. By leveraging capabilities in software-enhanced hardware, every solution delivers unrivalled capabilities and exceptional performance across land, air, sea and space applications where GPS is contested.",[],,,2025-08-25 15:24:04,0.7,255 George Street,,,,,USA,US,39.7837304,-100.445882,geocoded
Advanced Technology International,3819,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/67EE0A98-5E8A-EF11-8107-E02365054D38,https://www.ati.org,www.ati.org,"['https://twitter.com/https://twitter.com/ATI_ORG', 'https://www.linkedin.com/company/https://www.linkedin.com/company/ati-advanced-technology-international/', 'https://www.ati.org']","{'twitter': 'https://twitter.com/https://twitter.com/ATI_ORG', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/ati-advanced-technology-international/'}","Advanced Technology International (ATI) fuels innovation for national security by leading high-impact R&D collaborations across government, industry, and academia. We reduce the burden on federal agencies by managing complex research initiatives and delivering end-to-end support—from expert contracting, financial management to training and event execution.",[],,,2025-08-25 15:24:09,0.6," Business Development Assistant

Advanced Technology International
315 Sigma Drive
Charleston, SC 29486",315 Sigma Drive,Charleston,SC,29486,United States,US,,,unknown
Advanced Technology Systems Company,155,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/A49C6FC4-0F8B-EF11-8109-89D6F48D9B9D,https://atscva.com,atscva.com,"['https://twitter.com/@atscva', 'https://www.linkedin.com/company/https://www.linkedin.com/company/advanced-technology-systems-company', 'https://atscva.com']","{'twitter': 'https://twitter.com/@atscva', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/advanced-technology-systems-company'}","ATSC is a U.S. Defense and Government contracting company that specializes in providing government and defense agencies, domestic and global, with technology solutions for their Force Protection, Counter-Swarm UAS, Communication, Systems Integration, Cyber Security, and Logistics needs through our extensive domestic and Foreign Military Sales (FMS) experience.",[],,,2025-08-25 15:24:15,0.8," Business Development

Advanced Technology Systems Company
2010 Corporate Ridge
Suite 910
McLean, VA 22102",,McLean,VA,22102,United States,US,38.9366852,-77.185843,geocoded
Advantech,1460,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/5D47A05A-FD8A-EF11-8109-89D6F48D9B9D,https://www.advantech-e.com/military/index.html,www.advantech-e.com,"['https://www.facebook.com/https://www.facebook.com/AdvantechUSA', 'https://twitter.com/https://twitter.com/Advantech_USA', 'https://www.linkedin.com/company/https://www.linkedin.com/company/advantechusa/', 'https://www.advantech-e.com/military/index.html']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/AdvantechUSA', 'twitter': 'https://twitter.com/https://twitter.com/Advantech_USA', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/advantechusa/'}","Advantech is a global leader in industrial computing products, system integration services, software, and customer-centric design services. We specialize in design, manufacturing, integration, and fulfillment services in embedded and ruggedized solutions. Advantech’s ruggedized boards are excellent solutions for users seeking flexible I/O and 24/7 reliability.",[],,,2025-08-25 15:24:21,0.8,"

Contact Info
Lance Gemette
Vertical Key Account Manager

Advantech
13 Whatney
Irvine, CA 92618",,Irvine,CA,92618,United States,US,33.6856969,-117.825981,geocoded
AeroGlow LLC,1360,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/93230CA0-068B-EF11-8109-89D6F48D9B9D,https://www.aeroglowinternational.com,www.aeroglowinternational.com,"['https://www.facebook.com/aeroglowinternational', 'https://twitter.com/#bigbearagi', 'https://www.aeroglowinternational.com']","{'facebook': 'https://www.facebook.com/aeroglowinternational', 'twitter': 'https://twitter.com/#bigbearagi'}","Aeroglow LLC is the provider of the Hatch Lighting and Orientation (HaLO) Emergency Egress Lighting System (EELS) fitted to over 6,000 AFVs including those operated by SOCOM and the Marine Corps. The system is activated by Blast, Roll-Over, Fire or Water. TRL9 HaLO is fully qualified to meet all requirements.",[],,,2025-08-25 15:24:28,0.8,"

Contact Info
Keith White
Mr

AeroGlow LLC
405 Amelia Street
Fredericksburg, VA 22401",405 Amelia Street,Fredericksburg,VA,22401,United States,US,38.3024433,-77.4659194,geocoded
"Aeronix, Inc",760,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/2F0AF560-4B71-F011-8109-89D6F48D9B9D,,,"['https://www.linkedin.com/company/linkedin.com/in/https://www.linkedin.com/company/aeronix/', 'https://www.aeronix.com']","{'linkedin': 'https://www.linkedin.com/company/linkedin.com/in/https://www.linkedin.com/company/aeronix/', 'twitter': 'https://www.aeronix.com'}","Aeronix is a non-traditional defense company that specializes in C6ISR technologies from ocean to orbit. We deliver secure network and communications solutions including software-defined radios, custom cryptography, rugged Ethernet switches, and improved data modem tactical data links. Our RF signal intelligence products ensure precise detection, tracking, and identification across air,",[],,,2025-08-25 15:24:35,0.6," Suite 200
Suite 200
Melbourne, FL 32901",,Melbourne,FL,32901,United States,US,28.0785034,-80.6077908,geocoded
Aeroservices S.A.,7219,Hall DE,https://maps.goeshow.com/ausa/annual/2025/789E2EE4-114B-4FFB-949A-A20C3AEA1806,https://aeroservices.gr,aeroservices.gr,"['https://www.facebook.com/aeroservices', 'https://aeroservices.gr']",{'facebook': 'https://www.facebook.com/aeroservices'},"AEROSERVICES S.A. since 1993 supports civilian, state and military organizations in Greece and Europe. In our facilities at Megara and Athens International Airports offering one stop shop aviation services to aircraft owners and operators. AEROSERVICES S.A. offers totalized support programs in a big range of activities.",[],,,2025-08-25 15:24:41,0.7,,,,,,Greece,GR,38.9953683,21.9877132,geocoded
Aimlock Inc.,4345,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/00821EA5-1F8B-EF11-8109-89D6F48D9B9D,https://www.aim-lock.com,www.aim-lock.com,"['https://www.linkedin.com/company/www.linkedin.com/company/aimlock/', 'https://www.aim-lock.com']",{'linkedin': 'https://www.linkedin.com/company/www.linkedin.com/company/aimlock/'},"Specializing in the development of autonomy for precision strike, counter-UxS, and remote weapon systems, AimLock enhances speed, accuracy, and standoff distances while lowering cognitive load on the operator. AimLock’s Core Targeting Modules offer decision accelerating autonomy in target detection, classification, identification, sensor fusion, target prioritization, and advanced firing solutions.",[],,,2025-08-25 15:24:46,0.8,"
8022 Southpark Circle
Suite 100
Littleton, CO 80120",,Littleton,CO,80120,United States,US,39.613321,-105.016649,geocoded
Aimpoint Inc,1955,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/E9FA596F-3F8A-EF11-8107-E02365054D38,https://aimpoint.us/,aimpoint.us,"['https://www.facebook.com/https:www.facebook.com/aimpoint', 'https://twitter.com/www.twitter.com/AimpointUSA', 'https://www.instagram.com/https://www.instagram.com/aimpointusa/', 'https://www.linkedin.com/company/aimpoint-inc', 'https://aimpoint.us/']","{'facebook': 'https://www.facebook.com/https:www.facebook.com/aimpoint', 'twitter': 'https://twitter.com/www.twitter.com/AimpointUSA', 'instagram': 'https://www.instagram.com/https://www.instagram.com/aimpointusa/', 'linkedin': 'https://www.linkedin.com/company/aimpoint-inc'}","Aimpoint red dot sights are trusted by hunters, sport shooters, military, and law enforcement officers around the world. Over 2 million sights have been supplied to the United States military since 1997. Today, Aimpoint is recognized globally as the most rugged, reliable, and efficient electronic sighting system in the world.",[],,,2025-08-25 15:24:52,0.8,"

Contact Info
Rodrigo Roman
Head of Events and Marketing Services

Aimpoint Inc
7309 Gateway Court
Manassas, VA 20109",,Manassas,VA,20109,United States,US,38.7509488,-77.4752667,geocoded
Airborne Systems,1311,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/9EC977D5-7C89-EF11-8107-E02365054D38,https://www.airborne-sys.com,www.airborne-sys.com,"['https://www.facebook.com/@AirborneSystems', 'https://twitter.com/airbornesysna', 'https://www.instagram.com/airbornesysna', 'https://www.linkedin.com/company/Airborne-Systems', 'https://www.airborne-sys.com']","{'facebook': 'https://www.facebook.com/@AirborneSystems', 'twitter': 'https://twitter.com/airbornesysna', 'instagram': 'https://www.instagram.com/airbornesysna', 'linkedin': 'https://www.linkedin.com/company/Airborne-Systems'}","Airborne Systems, with over 100 years of expertise, designs and manufactures top-tier parachutes for military and space applications. These include personnel and cargo parachutes, GPADS, oxygen systems, space and air vehicle recovery, and aircraft deceleration systems.",[],,,2025-08-25 15:24:58,0.8,"

Contact Info
Joseph Decosta

Airborne Systems
5800 Magnolia Avenue
Pennsauken, NJ 08109",5800 Magnolia Avenue,Pennsauken,NJ,08109,United States,US,39.942876,-75.051676,geocoded
Airbus,1639,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/6C9FE4E6-8A89-EF11-8107-E02365054D38,,,[],{},,[],,,2025-08-25 15:25:05,0.5," 1639
Contact Info
Stephanie Offerdahl

Airbus
2550 Wasser Terrace
Suite 9000
Herndon, VA 20171",,Herndon,VA,20171,United States,US,38.9695316,-77.3859479,geocoded
Alaska Defense,2839,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/7D1C7E15-308A-EF11-8107-E02365054D38,https://www.alaskadefense.com,www.alaskadefense.com,"['https://www.facebook.com/AlaskaDefense', 'https://twitter.com/AlaskaDefense', 'https://www.linkedin.com/company/alaskadefense', 'https://www.alaskadefense.com']","{'facebook': 'https://www.facebook.com/AlaskaDefense', 'twitter': 'https://twitter.com/AlaskaDefense', 'linkedin': 'https://www.linkedin.com/company/alaskadefense'}","Alaska Defense™ is the world's fastest-producer and largest provider of rapidly deployable shelters. Our commitment to enhancing the operational efficiency and mission readiness of military forces is unmatched, offering a comprehensive range of expeditionary shelter systems tailored to meet the dynamic demands of modern warfare.",[],,,2025-08-25 15:25:11,0.8,"216
Scottsdale, AZ 85251",,Scottsdale,AZ,85251,United States,US,33.4942189,-111.926018,geocoded
Allient Defense,4243,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/1B94DF86-1C8B-EF11-8109-89D6F48D9B9D,https://www.allient.com,www.allient.com,['https://www.allient.com'],{},"Design, manufacture and supply motion control solutions including COTS and custom brushed & brushless DC motors, torque motors, gearing, electronics and light-weighting technologies found on aircraft actuation, high-speed surface control, weapons & munitions, environmental control systems, ground vehicles, mobile SATCOM, robotics, and more.",[],,,2025-08-25 15:25:17,0.8,"

Contact Info
Allient North America Solution Center

Allient Defense
495 Commerce Drive
Amherst, NY 14228",495 Commerce Drive,Amherst,NY,14228,United States,US,43.0263898,-78.8057605,geocoded
Allison Transmission,7501,Hall DE,https://maps.goeshow.com/ausa/annual/2025/EA1FAD2D-298A-EF11-8107-E02365054D38,,,"['https://www.facebook.com/@ALLISONTRANSMISSION', 'https://twitter.com/@AllisonTrans', 'https://www.linkedin.com/company/Allison Transmission']","{'facebook': 'https://www.facebook.com/@ALLISONTRANSMISSION', 'twitter': 'https://twitter.com/@AllisonTrans', 'linkedin': 'https://www.linkedin.com/company/Allison Transmission'}",Allison Transmission is a leading designer and manufacturer of propulsion solutions for commercial and defense vehicles and the largest global manufacturer of medium- and heavy-duty fully automatic transmissions that Improve the Way the World Works. Allison products are used in a wide variety of defense vehicles both wheeled and tracked.,[],,,2025-08-25 15:25:23,0.6,"

Contact Info
Robert Berndt

Allison Transmission
4700 West 10th Street
Indianapolis, IN 46222",4700 West 10th Street,Indianapolis,IN,46222,United States,US,39.7788609,-86.313775,geocoded
ALTA ARES,2641,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/5039B211-299D-4895-99D3-BDAEFD2D84CF,https://altaares.com/,altaares.com,['https://altaares.com/'],{},"Embedded AI for intelligence, surveillance and reconnaissance (ISR) to assist operators by reducing their cognitive load and minimizing the risk of error. Capable of analyzing data streams in real time without internet, it can accurately identify objects, people, vehicles, or potential threats.",[],,,2025-08-25 15:25:31,0.6,"

Contact Info
Stanislas Walch
COO

ALTA ARES
1 West 60th Street
New York, NY 10024",,Stanislas Walch,CO,,United States,US,,,unknown
AM General,6941,Hall DE,https://maps.goeshow.com/ausa/annual/2025/D1FC8D8C-7389-EF11-8107-E02365054D38,https://www.amgeneral.com,www.amgeneral.com,"['https://www.facebook.com/facebook.com/AMGeneralLLC/', 'https://twitter.com/twitter.com/AMGeneral_LLC', 'https://www.instagram.com/instagram.com/https:/amgeneral_llc/', 'https://www.linkedin.com/company/linkedin.com/in/company/am-general/', 'https://www.amgeneral.com']","{'facebook': 'https://www.facebook.com/facebook.com/AMGeneralLLC/', 'twitter': 'https://twitter.com/twitter.com/AMGeneral_LLC', 'instagram': 'https://www.instagram.com/instagram.com/https:/amgeneral_llc/', 'linkedin': 'https://www.linkedin.com/company/linkedin.com/in/company/am-general/'}","AM General has a well-rounded product portfolio of specialized military vehicles that includes the next generation Joint Light Tactical Vehicle A2 (JLTV A2), the revolutionary 105mm mobile artillery truck with Soft Recoil Technology, and the iconic HUMVEE. We are mission ready and future driven to meet our customers’ evolving needs.",[],,,2025-08-25 15:25:36,0.7,"

Contact Info
Lizbeth Carpenter

AM General
1401 South Clark Street
Suite 1030
Arlington, VA 22202",,,AM,,USA,US,29.6270768,-82.3623454,geocoded
Amazon Business,8213,Hall DE,https://maps.goeshow.com/ausa/annual/2025/471BD0EC-568A-EF11-8107-E02365054D38,https://business.amazon.com,business.amazon.com,['https://business.amazon.com'],{},"Amazon Business offers vast product selection and competitive pricing, while providing centralized oversight, cost savings, and compliance support for your purchasing needs.",[],,,2025-08-25 15:25:43,0.8,"

Contact Info
Lynn Meadors

Amazon Business
410 Terry Avenue North
Seattle, WA 98109",410 Terry Avenue,Seattle,WA,98109,United States,US,47.6047904,-122.3223769,geocoded
Amazon Web Services,8312,Hall DE,https://maps.goeshow.com/ausa/annual/2025/E3A8F75F-578A-EF11-8107-E02365054D38,https://www.aws.com/defense,www.aws.com,"['https://www.facebook.com/https://www.facebook.com/amazonwebservices', 'https://twitter.com/https://x.com/AWS_Gov', 'https://www.instagram.com/https://www.instagram.com/amazonwebservices', 'https://www.linkedin.com/company/https://www.linkedin.com/company/amazon-web-services', 'https://www.aws.com/defense']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/amazonwebservices', 'twitter': 'https://twitter.com/https://x.com/AWS_Gov', 'instagram': 'https://www.instagram.com/https://www.instagram.com/amazonwebservices', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/amazon-web-services'}","Amazon Web Services (AWS) provides a global infrastructure and secure, scalable, and mission-focused solutions that helps the Department of Defense (DoD) meet mission, drive efficiencies, increase innovation, and secure critical workloads.",[],,,2025-08-25 15:25:50,0.8," US Army

Amazon Web Services
AWS Department of Defense
410 Terry Avenue North
Seattle, WA 98109",,Amazon Web Services,AW,,USA,US,38.9050867,-77.454781,geocoded
AMDA Foundation Limited,525,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/9F87A592-303C-F011-8109-89D6F48D9B9D,https://www.landforces.com.au,www.landforces.com.au,"['https://www.linkedin.com/company/https://www.linkedin.com/company/landforces/?miniCompanyUrn=urn%3Ali%3Afs_miniCompany%3A10692374&lipi=urn%3Ali%3Apage%3Ad_fla', 'https://www.landforces.com.au']",{'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/landforces/?miniCompanyUrn=urn%3Ali%3Afs_miniCompany%3A10692374&lipi=urn%3Ali%3Apage%3Ad_fla'},"Land Forces 2026 is the platform for defence, industry & government, to network, & discuss opportunities & challenges facing the global land defence markets. Supported by the Australian Army, the exposition includes Australia’s largest defence exhibition, a comprehensive 3 day conference program & formal engagement opportunities.",[],,,2025-08-25 15:25:57,0.7,,,,,,Australia,AU,-24.7761086,134.755,geocoded
Amentum,1619,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/9EF26258-8089-EF11-8107-E02365054D38,https://amentum.com,amentum.com,"['https://twitter.com/@amentum_corp', 'https://www.linkedin.com/company/amentumcorp', 'https://amentum.com']","{'twitter': 'https://twitter.com/@amentum_corp', 'linkedin': 'https://www.linkedin.com/company/amentumcorp'}","Amentum is a global leader in advanced engineering and innovative technology solutions, trusted by the United States and its allies to address their most significant and complex challenges in science, security and sustainability.",[],,,2025-08-25 15:26:04,0.8,"

Contact Info
Corrine Chagnot

Amentum
4800 Westfields Blvd
Chantilly, VA 20151",4800 Westfields Blvd,Chantilly,VA,20151,United States,US,38.875571,-77.4409133,geocoded
Amerex Defense,247,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/D1E99377-F38A-EF11-8109-89D6F48D9B9D,https://www.amerex-fire.com,www.amerex-fire.com,"['https://www.facebook.com/AmerexCorporation', 'https://twitter.com/Amerex_corp', 'https://www.instagram.com/Amerex_Corporation', 'https://www.linkedin.com/company/Amerex Corporation', 'https://www.amerex-fire.com']","{'facebook': 'https://www.facebook.com/AmerexCorporation', 'twitter': 'https://twitter.com/Amerex_corp', 'instagram': 'https://www.instagram.com/Amerex_Corporation', 'linkedin': 'https://www.linkedin.com/company/Amerex Corporation'}","Amerex Defense, which was established in 2000, provides a wide range of life-saving AFES systems. Our engineers lead the way with product quality and design with one goal in mind: to protect those who protect us.",[],,,2025-08-25 15:26:10,0.6,"

Contact Info
Susan Ray
Marketing

Amerex Defense
PO Box 81
Trussville, AL 35173",,Amerex Defense,PO,,USA,US,,,unknown
American Battle Monuments Foundation,460,Hall ABC,https://maps.goeshow.com/ausa/annual/2025/7ED7C152-5267-44DD-8107-06B08AA37AD1,https://abmf.org/,abmf.org,"['https://www.facebook.com/https://www.facebook.com/theydied4us/', 'https://twitter.com/https://x.com/theydied4us', 'https://www.instagram.com/https://www.instagram.com/theydied4us/', 'https://www.linkedin.com/company/https://www.linkedin.com/company/american-battle-monuments-foundation/', 'https://abmf.org/']","{'facebook': 'https://www.facebook.com/https://www.facebook.com/theydied4us/', 'twitter': 'https://twitter.com/https://x.com/theydied4us', 'instagram': 'https://www.instagram.com/https://www.instagram.com/theydied4us/', 'linkedin': 'https://www.linkedin.com/company/https://www.linkedin.com/company/american-battle-monuments-foundation/'}",,[],cappert@abmf.org,,2025-08-25 15:26:16,0.8,"org
Director of Operations

American Battle Monuments Foundation
2181 South Columbine Street
Denver, CO 80210",2181 South Columbine Street,Denver,CO,80210,United States,US,39.6768378,-104.9568494,geocoded
